Student,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6
#0288,10,10,10,20,10,10,25,40,15,8.5,8.3,7.566666667,6.933333333,8,7.4
#0289,10,8.79,10,20,10,10,4.49,3.31,12.69,5,5.55,0,6.55,0,5.9
#0290,10,10,10,20,10,10,25,40,15,9,9.8,9.4,9.5,7,9.6
#0291,10,10,10,20,10,10,25,40,15,8.25,9.466666667,8.833333333,9.2,10,8.8
#0292,10,10,0,20,10,0,0,0,.96,0,8.1,9.333333333,6.6,9,7.4
#0293,10,10,10,0,1.82,0,25,40,2.12,8,7.15,6.933333333,9,8.5,0
#0294,10,10,10,11.73,10,10,20.9,40,15,10,9,8.6,6.733333333,7.333333333,8.333333333
#0295,10,10,10,20,10,10,25,40,15,9.6,10,9.666666667,8,9,8.066666667
#0296,10,10,10,20,10,10,14.1,22.05,14.94,9,9.457142857,8.6,4.4,5,7.333333333
#0297,10,10,10,20,10,10,25,40,15,10,9,10,10,8,10
#0298,10,10,10,18.91,10,0,0,36.88,13.82,9,6.8,7,3.4,9,9.6
#0299,10,10,10,20,10,10,25,40,10.14,8.8,9.35,8.733333333,9.5,9,9.066666667
#0300,10,10,10,20,10,10,25,40,15,8,9,9.3,10,6,9.6
#0301,10,10,10,20,10,10,25,40,15,9,9.5,9.6,9,10,9.5
#0302,10,10,10,14.51,10,10,23.17,5.35,11.16,8,9.8,8.2,10,9,10
#0303,10,10,10,20,10,10,9.03,4.94,13.98,7.8,8.5,9.466666667,8.75,8,9.8
#0304,10,10,10,9.97,9.98,10,7.7,38.92,15,8.8,7.6,6.6,7.4,7,8.8
#0305,10,10,10,11.46,10,10,21.31,34.83,15,7.8,8.4,5.6,7.4,6,9.5
#0306,10,10,10,20,10,10,25,0,5.89,9.8,9.466666667,9,8.5,8,0
#0307,10,10,10,20,10,10,25,40,12.98,0,9.8,9.2,8.8,10,7.666666667
#0308,0,0,10,0,0,0,.84,6,9.9,8,7.6,9.1,5.1,2,8.6
#0309,10,10,10,20,10,10,17.76,40,15,8,9.6,10,8.5,9,8.55
#0310,10,10,10,20,10,3.44,0,24.34,15,9,8.1,9,7.8,0,10
#0311,10,10,10,10.89,10,10,20.56,40,15,8.8,9.8,8.4,8.5,5,10
#0312,10,10,10,20,0,2.07,4.12,7.39,15,8.4,6.8,6.8,8.6,7,9.5
#0313,10,10,10,20,10,10,2.99,5.51,10.36,8.3,9.6,8.3,7,5.333333333,7.8
#0314,10,10,10,20,10,10,23.26,0,14.81,8.4,9.2,8.4,7.733333333,0,9.8
#0315,10,10,10,17.95,10,10,25,40,15,10,8.1,9.3,8,9,8.466666667
#0316,10,10,10,20,10,10,25,40,15,10,8.866666667,10,9.3,10,9.8
#0317,10,10,10,20,10,10,25,40,15,8.8,9.8,8.9,7.4,8,8.8
#0318,10,10,10,20,10,10,25,18.78,15,10,8.857142857,9.3,7.8,9,8.8
#0319,10,10,10,20,10,10,25,40,14.08,9,10,7.966666667,8.2,7,9.6
#0320,10,10,10,20,10,10,25,40,15,8.8,10,7.6,9.8,10,10
#0321,10,10,10,20,10,10,25,40,15,9,9.2,8.266666667,7.75,5,7.8
#0322,10,10,10,20,10,10,25,40,15,9,9.466666667,9,9.3,7,9.75
#0323,10,10,10,18.99,8.96,8.29,8.38,35.95,13.49,8.8,9.75,9.8,9.8,8,8.6
#0324,10,10,10,20,10,10,25,18.12,15,8.6,8.4,8,8,10,9.1
#0325,10,0,10,0,0,0,0,6.99,15,9,7.65,5.4,7.2,6,8.733333333
#0326,10,10,10,20,10,10,25,40,15,9.8,9,9.05,10,9,9.5
#0327,10,10,10,20,10,10,3.22,28.29,10.09,8,8.9,8.6,5.6,3,9
#0328,10,10,10,12.46,10,10,14.3,40,15,9,9.8,9.1,10,9,8.333333333
#0329,10,10,10,17.56,9.75,0,15.15,9.9,15,10,9.2,8.9,7.8,10,10
#0330,10,10,10,20,10,10,25,40,15,9.1,8.8,9.2,8,10,10
#0331,10,10,10,20,10,10,25,40,15,8,9.8,8.5,8.766666667,7,8.8
#0332,10,10,10,20,10,10,14.61,40,15,9,9.5,9.066666667,9.8,5,8
#0333,10,10,10,20,10,10,25,40,0,7,9.3,0,7.8,6,0
#0334,10,10,10,20,10,10,25,40,15,9,8.8,10,8.6,8.666666667,9.6
#0335,10,10,10,20,10,10,25,40,15,10,9.8,10,9,8,8.466666667
#0336,10,10,10,20,10,10,25,40,15,9,7.8,9.333333333,6.5,10,10
#0337,10,10,10,20,10,10,23.37,24.25,13.47,10,9,8.8,8,0,9.8
#0338,10,10,10,20,10,10,25,40,15,10,9.3,7.733333333,9,10,9.4
#0339,10,8.37,10,20,10,0,0,0,5.3,6,8.4,2.666666667,7.466666667,0,0
#0340,10,10,10,20,10,10,15.29,37.81,15,8.8,9.25,9.466666667,5.666666667,2.333333333,6.8
#0341,10,10,10,20,10,10,25,40,15,9,9.8,8.5,5.3,9,10
#0342,10,10,10,13.36,10,10,10.34,40,15,9,7.257142857,7.9,8.933333333,9,10
#0343,10,9.6,10,19.55,9.95,9.84,24.16,20.59,13.68,10,9,8,9.3,5.5,9
#0344,10,10,10,20,10,10,24.05,0,13.6,8,9.8,8.9,6,7,8
#0345,10,9.19,10,20,10,10,25,40,15,8,7.4,7.933333333,7.8,9,10
#0346,10,10,10,11.65,10,10,22.34,35.67,12.08,9,8.083333333,5.133333333,10,8,7.6
#0347,10,10,10,19.06,10,10,25,40,15,8.8,9.6,9.5,7.1,9,9.6
#0348,10,10,10,10.93,10,8.64,25,39.44,15,9,9.8,9.466666667,9.1,7,8.8
#0349,10,10,10,20,10,10,3.72,38.26,15,9,8.8,0,5.6,8,6.9
#0350,10,10,10,20,9.73,10,0,40,15,9,9,9,8.1,8,0
#0351,10,10,10,10.99,10,9.16,17.82,37.62,15,9.6,9.55,6.966666667,0,5,0
#0352,10,10,10,20,10,0,0,32.09,15,10,6.675,6.566666667,2.2,0,3.2
#0353,10,10,10,20,10,10,25,20.74,15,7,9.75,8.566666667,7,10,9.6
#0354,10,10,10,20,10,10,22.24,14.94,15,10,7.266666667,8.6,9,9,9.8
#0355,10,10,10,20,10,10,25,40,15,10,9.6,9.8,8.6,9,9.6
#0356,10,10,10,20,10,10,21.5,40,15,9,7.6,7.8,9.6,9,8.333333333
#0357,10,10,10,20,10,10,8.9,23.12,15,10,9.8,9.266666667,9,6,7.8
#0358,10,10,10,20,10,10,4.99,38.55,15,9,8.8,8.6,7,7,9
#0359,10,10,10,4.94,0,6.29,0,0,0,8.8,8,7.266666667,4.233333333,7,7.066666667
#0360,10,10,10,20,10,10,18.96,8.23,12.29,9.6,9,7.966666667,8,5.4,8
#0361,10,10,10,11.86,10,9.85,25,40,15,9,9.5,8.4,10,7,8.8
#0362,10,10,10,20,10,9.46,24.57,40,11.87,8,8.2,8.8,4.35,0,8.4
#0363,10,10,10,20,10,10,25,40,15,8.8,9.8,9,8,7,6.8
#0364,10,10,10,20,10,10,21.55,40,15,10,9.6,9.8,7.8,9,9.8
#0365,10,10,10,20,10,10,25,40,15,10,10,10,9.6,8.666666667,10
#0366,10,10,10,20,10,10,25,30.59,15,5.6,9.1,8.75,7.8,7,8
#0367,10,10,10,9.78,10,4.03,0,2.31,15,10,9.5,8.9,8.666666667,7,9.8
#0368,10,10,10,15.61,10,10,14.69,40,15,9.8,9,9.4,9.8,8,9
#0369,9.12,10,10,11.96,8.92,9.67,11.25,22.5,10.74,7,9,0,5.2,9.75,9.6
#0370,10,10,10,20,10,10,25,40,15,10,9.05,7.8,7,0,8.066666667
#0371,10,10,10,20,10,10,25,38.57,15,7.6,8.6,9.1,7.1,8,9.75
#0372,10,10,10,20,10,10,25,40,15,9,8.8,8,9.6,7,9.333333333
#0373,10,10,10,20,10,10,25,0,15,9,7.766666667,7.933333333,9.416666667,0,8.8
#0374,10,10,10,0,10,0,5.72,0,1.97,9,9,0,7.2,6,9.1
#0375,10,10,10,20,5.02,10,25,32.69,15,9,7.438095238,7.5,7,3.066666667,8
#0376,10,10,10,20,10,10,25,40,15,8.5,9.35,8.7,9.8,8,9
#0377,10,10,10,20,10,10,21.81,40,15,8.8,9.75,8.9,7.266666667,8,9.6
#0378,10,10,10,20,10,10,25,40,0,7,10,8.9,8.3,8,0
#0379,10,10,10,20,10,10,20.52,38.79,15,10,9.666666667,8.366666667,9.3,8,8.4
#0380,10,10,10,16.14,10,10,19.82,34.02,15,10,7.55,9.2,9.8,5,8
#0381,10,10,10,20,10,10,12.82,40,15,9,10,9.4,8,8,9
#0382,10,10,10,14.99,10,10,21.8,40,13.12,10,9.3,9.6,7.133333333,8,7.6
#0383,10,10,10,20,10,10,15.89,35.7,15,9.8,9.8,9.6,7.55,7,8.8
#0384,10,10,10,20,10,10,25,40,15,9,9.2,9.1,7.6,10,8.8
#0385,10,10,10,20,10,10,25,40,15,9.8,9.8,9,8.8,8,7.4
#0386,10,10,10,20,10,10,25,40,15,9,10,9,6.8,9,10
#0387,10,10,10,20,10,0,21.5,0,15,8,8.05,8.266666667,7.4,5.333333333,8.2
#0388,10,10,10,20,10,10,25,27.46,15,9,9.55,8.533333333,7.8,7,6.783333333
#0389,10,10,10,20,10,10,20.59,22.94,15,10,6.466666667,7.7,7.7,7,7.933333333
#0390,10,10,10,10.96,9.97,9.99,9.48,9.93,11.53,9,8.266666667,9.016666667,4.583333333,4,8
#0391,10,10,10,20,10,10,25,15.74,12.98,8.6,9.15,7.2,6.55,3.4,6.8
#0392,10,10,10,20,6.96,10,0,23.49,14.46,8,9.8,7.533333333,7.333333333,9,9.4
#0393,10,10,10,20,10,10,25,40,15,9,10,8.633333333,6.8,8,9.4
#0394,10,10,10,20,0,3.32,0,40,13.06,6.6,8,8.566666667,7.6,9,8.066666667
#0395,10,10,10,20,10,10,11.12,25.71,15,0,9.8,9.8,7,6,8.333333333
#0396,10,10,10,20,10,10,19.19,40,15,9,8.666666667,8.4,9,10,7.8
#0397,10,10,10,20,10,10,25,40,15,9,9.2,8.066666667,7.8,9,9.333333333
#0398,10,10,10,20,7.69,10,1.99,4.76,15,10,8.95,5.8,8.75,8,9.3
#0399,10,10,10,20,10,10,25,40,15,10,10,9.666666667,9.35,9,9
#0400,10,10,10,20,6.07,10,25,18.52,15,10,8.55,8.866666667,6.8,9,8.25
#0401,10,10,10,20,10,0,7.5,8.62,0,9,7.723809524,8.466666667,0,0,7.2
#0402,10,10,10,20,10,10,24.72,29.24,14.65,8,8.4,9.133333333,8,8,7.6
#0403,10,10,10,20,10,10,17.69,40,15,9,9.8,7.2,5.8,2,9.8
#0404,10,10,10,20,10,10,25,40,15,10,9.8,8.466666667,8.4,8,9.8
#0405,10,10,10,20,7.48,10,18.34,31.55,15,9,9.2,8.8,8.05,7,9.2
#0406,10,0,10,19.75,9.72,9.59,0,0,8.44,0,9,8.666666667,0,0,8.4
#0407,10,9.25,10,9.95,9.79,9.02,0,9.94,11.06,9,10,9.2,5.4,9,9.6
#0408,10,10,10,13.63,10,10,10.89,26.58,11.68,9,9.5,8.866666667,8.55,7,8
#0409,10,10,10,20,10,10,25,40,15,10,9.4,9.6,7.8,8,10
#0410,10,10,10,20,10,10,11.17,40,15,10,9.6,10,9,10,10
#0411,10,10,10,20,10,10,15.87,40,15,9,9,9.3,8.8,6,8.8
#0412,10,10,10,20,10,10,25,40,15,8,8.2,8.8,8.6,1,8.4
#0413,10,10,10,10.45,10,0,12.38,40,15,9,9,8.566666667,8.1,8.666666667,9
#0414,10,10,10,9.77,9.9,10,25,38.05,15,8.6,8.4,8.333333333,8,9,9
#0415,10,10,10,20,10,10,25,40,15,10,9.75,9.8,9.8,8,9.6
#0416,10,10,10,20,10,10,25,40,15,9,7.957142857,9.466666667,6,7,10
#0417,10,10,10,20,10,10,25,17.94,8.34,4,9.8,7.9,6.433333333,7,9
#0418,10,10,10,20,10,10,25,24.55,15,9,9.8,9.4,8.266666667,6,9.8
#0419,10,10,10,20,10,10,8.83,30.44,15,9,9.6,9,7,5,8.6
#0420,10,10,10,20,10,10,25,40,15,9,9.8,8.7,6.4,9,9.6
#0421,10,9.48,10,19.92,9.33,9.95,20.64,37.65,13.3,10,9.6,9.666666667,10,7,9.75
#0422,10,10,10,20,2.97,3.21,19.25,0,15,3.6,8,2.6,5.85,8,8.95
#0423,10,10,10,20,10,10,25,40,15,10,9.4,9.8,7,10,8.6
#0424,10,10,10,20,10,10,20.72,23.85,15,8,8.833333333,7.8,5.6,3,10
#0425,10,9.51,9.97,10.96,8.98,10,6.51,6.98,15,10,0,9.4,9,2,6
#0426,10,10,10,20,10,10,24.99,40,15,9,9.2,8.366666667,10,8,10
#0427,10,10,10,20,10,9.92,21.8,40,15,9.8,9.8,8.5,6.6,8,9.8
#0428,10,10,10,20,10,10,25,40,15,10,10,9.2,9,10,6.283333333
#0429,10,10,10,12.94,10,9.73,11.7,39.31,13.66,8.3,8.55,9.066666667,5.8,8,8
#0430,10,10,10,20,10,10,25,40,15,9.6,10,9.8,7.6,6,6.6
#0431,10,10,10,13.99,9.92,10,0,0,14.6,8.8,6.75,6.8,0,0,8.4
#0432,10,10,10,20,10,10,24.96,0,12.62,8,8,7.6,6.4,0,3.8
#0433,10,10,10,15.81,10,10,11.07,12.95,15,10,10,9,8.6,9,9.8
#0434,10,10,10,0,10,10,21.13,40,15,8.8,7.266666667,7.8,8.6,8,10
#0435,10,10,10,20,10,10,25,4.63,15,9,7.6,8,8,6,8.6
#0436,10,10,10,20,10,10,25,38.73,15,9,10,9.6,10,8,9.8
#0437,10,10,10,20,10,10,25,40,15,10,10,10,8.666666667,9,9
#0438,10,10,10,9.86,0,8.56,0,4.89,9.76,9.5,8.666666667,7.133333333,0,7,9.666666667
#0439,10,10,10,20,10,10,25,40,15,8,8.8,9.333333333,10,7,10
#0440,10,10,10,18.59,10,10,14.24,38.78,15,8,9.8,8.466666667,6.2,7,8.8
#0441,10,10,10,20,10,10,23.94,40,14.77,9,8.2,8.8,8.333333333,9,9.8
#0442,10,10,10,20,10,10,25,40,15,10,9.75,7.4,8.6,7,10
#0443,10,10,10,20,2.98,10,14.53,5.61,15,7.5,8.8,7.5,6.8,5,8.8
#0444,10,10,10,20,10,10,18.4,12.9,15,0,8.75,9.466666667,7.8,6,8.6
#0445,10,10,10,20,10,10,25,40,15,10,9.266666667,8.8,8.3,9,10
#0446,10,10,10,20,10,10,24.67,17.86,15,9,9.75,9.5,9,8,7.8
#0447,10,10,10,14.73,10,10,3.73,35.77,15,8.8,9.8,9,5.9,8,8.266666667
#0448,10,10,10,20,10,10,24.73,15.93,13.35,9,7.2,8.866666667,7.2,7,8
#0449,10,10,10,20,10,10,8.38,0,15,10,8.35,6.666666667,8.55,8.2,9.6
#0450,10,10,10,15.58,10,10,10.54,14.59,15,9,9.4,7.9,9,4,7.2
#0451,10,10,10,20,9.88,9.7,20.39,8.92,15,10,10,8.4,9.4,8,8.666666667
#0452,10,10,10,20,10,10,23.06,40,15,8.2,9.6,8.6,8,8,8.8
#0453,10,10,10,20,10,10,0,8.74,15,8.8,9.75,8.066666667,0,7.5,9.4
#0454,10,10,10,10.99,10,10,17.22,40,15,9,9.333333333,0,7.466666667,8,9
#0455,10,10,10,20,10,10,25,40,15,10,10,8.733333333,9.6,10,10
#0456,10,10,10,20,10,10,25,24.63,15,9.2,9.8,7.6,8.666666667,2,6.2
#0457,10,10,10,20,10,10,18.61,40,3.4,10,9.266666667,9,8.6,6,9.4
#0458,10,10,10,20,10,10,25,39.48,15,8,8,8,9.8,7,9.416666667
#0459,10,9.42,10,9.91,9.75,9.11,22.02,4.95,11.68,8,8.8,8.6,6.8,0,7
#0460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#0461,10,10,10,20,10,10,25,3.7,10.59,9,9.8,7.533333333,8.6,7,9.8
#0462,10,10,10,20,10,10,25,40,15,7.8,10,9.4,9.6,8,8.266666667
#0463,10,10,10,20,10,10,25,40,15,9,10,9,9.5,9,10
#0464,10,10,10,20,10,10,14.39,40,15,10,9.6,8.466666667,9,7,7.6
#0465,10,10,10,20,10,10,25,40,15,9.133333333,8.6,8.7,9,9,7.6
#0466,10,10,0,20,10,10,25,0,15,10,9.75,0,9.333333333,8,10
#0467,10,10,10,20,10,10,25,40,15,10,8.8,7.9,5.9,8,9.666666667
#0468,10,10,10,20,10,10,24.86,40,15,9,9.6,9.166666667,8.8,7,8.95
#0469,10,10,10,20,10,10,25,40,15,10,10,9.666666667,9,9,8.2
#0470,10,10,10,16.84,9.96,10,24.14,23.73,15,10,9.8,8.466666667,7.8,0,10
#0471,10,10,10,20,10,9.06,22.84,40,15,9,9.3,8.2,8.2,4,8
#0472,10,10,10,20,10,10,25,40,15,9.6,10,9,5.4,6,9
#0473,10,10,10,20,10,10,25,40,15,10,8.6,7.9,8.8,10,10
#0474,10,10,10,20,0,10,4,14.91,11.93,0,9.5,8.333333333,6.266666667,10,8.4
#0475,10,10,10,20,0,10,17.23,29.77,15,10,7.5,8.2,5.8,0,10
#0476,10,10,10,20,10,10,25,40,15,10,9.666666667,9.4,8.8,9,0
#0477,10,10,10,20,10,10,25,40,15,7.6,8.8,8.8,8,5,8
#0478,10,10,10,12.93,10,10,20.17,40,15,9,10,7.233333333,6.2,7,8.933333333
#0479,10,10,10,14.45,10,10,25,40,15,10,10,9.8,9.8,5,10
#0480,10,10,9.97,18.48,9.12,10,25,0,14.82,9,9.4,8.066666667,9,9,9.75
#0481,10,10,10,20,10,10,20.46,40,14.77,9,9.8,9.8,9.4,7,9.8
#0482,10,10,10,20,10,10,17.88,40,15,7,8.45,10,9.8,9,9.6
#0483,10,10,10,19.97,9.76,9.53,10.51,8.97,10.37,7.6,9.05,7.7,2,8,9.4
#0484,10,10,10,20,10,10,25,40,15,9,5.4,6,5.833333333,8,7.4
#0485,10,10,10,20,10,10,3.73,10.76,15,8,8.25,7.866666667,7.666666667,6,9.55
#0486,10,10,10,20,10,10,25,40,15,9,9.4,8.4,6.85,7,9.6
#0487,10,10,10,20,10,10,24.17,40,15,9,10,9,8.1,9,9.4
#0488,10,10,10,20,10,10,25,40,15,10,9.8,9,8.333333333,10,8.8
#0489,10,10,10,11.96,10,10,25,40,15,9,8.75,8.7,8.5,10,9.8
#0490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#0491,10,10,10,20,10,10,25,38.83,14.98,10,10,8.9,8.4,8,10
#0492,10,10,10,20,10,10,25,40,15,8,9.8,8.6,7.6,5,8.8
#0493,10,10,10,20,10,10,8.87,29.78,11.22,0,7.5,7.8,7,2.333333333,7.4
#0494,10,10,10,20,10,10,18.57,3.17,15,9,8,9.75,7,6,10
#0495,10,10,10,20,10,0,0,17.56,.77,7,8.8,0,10,7,5
#0496,5.43,0,10,20,10,10,12.63,40,15,9,7.423809524,5.7,7.6,6,8.6
#0497,10,10,10,20,10,5.92,19.09,22.88,0,9,9.8,6.1,9,7,0
#0498,10,10,10,19.9,10,9.32,9.64,40,10.76,9,9.4,9.8,5,7,0
#0499,10,10,10,20,10,10,25,40,15,9,9.8,9.6,10,6,9.333333333
#0500,10,.82,10,20,9.89,7.69,19.42,15.9,12.72,7.8,10,8.1,7.8,10,7.5
#0501,10,10,10,20,10,10,25,40,15,9,9.6,7.4,9.1,8,8.266666667
#0502,10,10,10,20,10,10,25,40,15,9,8.5,5.8,8.3,4.333333333,9.8
#0503,10,10,10,20,9.95,10,25,40,15,9.8,9.3,7.366666667,9,9,9
#0504,10,10,10,0,0,0,0,0,0,8.8,5.2,2.8,0,0,0
#0505,10,10,10,20,10,10,25,40,15,9,9.6,9.8,10,8.666666667,10
#0506,10,10,10,10.99,10,10,11.86,16.07,14.42,8.6,8.3,8.2,8.6,9,9.75
#0507,10,10,10,11.51,10,8.26,12.49,40,15,8,9.1,7.95,4.4,7,8.8
#0508,10,10,10,20,10,10,25,40,15,9,9.8,9.266666667,7.6,6,10
#0509,10,10,10,20,10,10,25,40,15,9,10,8.4,8.55,8,9.133333333
#0510,10,10,10,20,10,10,11.84,40,15,8.8,7.25,5.95,2.35,6,8.6
#0511,10,10,10,14.96,10,10,25,37.85,14.76,10,9.8,9,6.5,9,8
#0512,10,10,0,20,10,10,25,40,15,9,8.466666667,7.7,8.5,9,9.4
#0513,8.96,10,10,20,10,2.75,.75,0,0,8,7.583333333,3.25,.75,7,7.8
#0514,10,10,10,20,10,10,25,40,15,10,8.5,7.6,8,8,7.533333333
#0515,10,10,10,20,10,10,25,40,15,10,8.8,9.8,9.8,8,9
#0516,10,10,10,20,10,10,25,39.9,15,9,10,9.6,7.6,6,7.95
#0517,10,10,10,20,10,10,25,40,15,9,10,9.166666667,9.1,8,10
#0518,10,10,10,20,10,10,25,40,15,10,8.8,8.6,9.6,10,9.6
#0519,10,10,10,20,10,10,4.61,4.98,12.67,10,7.9,9.6,9,8,9
#0520,10,10,10,16.82,10,10,20.18,16.83,15,8,0,8.4,8.2,5,7.6
#0521,10,10,10,20,10,10,25,28.84,15,9,9.5,9.5,8.75,5,9
#0522,9.8,10,10,20,10,10,25,40,15,9,8.8,8.633333333,6.25,6,7.733333333
#0523,10,10,10,20,10,10,25,40,15,8.8,9.083333333,9.2,6,9,10
#0524,10,10,10,20,10,10,25,40,15,10,9.8,9.6,10,9,9.8
#0525,10,10,10,13.85,10,10,1,21.38,14.07,10,9.8,8.166666667,10,4.75,9
#0526,10,10,10,20,10,10,10.65,13.91,10.25,9,8.8,7.366666667,5.8,7,8.2
#0527,10,10,10,2,7.95,10,18.64,10.7,14.59,7.8,10,8,7,7.5,10
#0528,10,10,10,20,10,10,25,40,15,9.8,10,8.533333333,9.8,7,9
#0529,10,10,10,20,10,10,25,40,15,9.6,10,9.266666667,9.8,10,10
#0530,10,9.57,1.66,20,1.95,10,20.92,16.52,8.59,8.4,7.6,5.1,7.6,3,7.2
#0531,10,10,10,11.55,10,10,25,38.62,15,10,7.8,9.2,8.5,7.666666667,8.8
#0532,10,10,10,16.01,10,10,10.94,0,8.86,8.5,6.7,5.9,5.2,0,6.6
#0533,10,10,10,20,10,10,25,40,15,9.5,8.3,4.55,7.6,7,8.55
#0534,10,10,10,20,10,10,25,40,15,8,10,9.8,8.716666667,9,9.8
#0535,10,9.77,9.96,10,10,10,11.99,39.76,4.98,9,9.55,7.916666667,7.2,7.333333333,9
#0536,10,10,10,20,10,10,15.62,40,15,9,10,8.1,6.8,8,10
#0537,10,10,10,20,10,10,25,40,15,10,9,9.5,9,8,8
#0538,10,10,10,0,10,9.92,4.78,0,15,8,9.25,7.3,0,0,8.6
#0539,10,10,10,20,10,10,24.6,39.48,15,8.8,8.75,8.466666667,6.6,7,8.6
#0540,10,10,10,0,10,0,0,0,0,9.6,9.4,0,6.6,8,0
#0541,10,10,10,20,10,10,12.36,40,15,9,7.85,9,9.133333333,10,8.8
#0542,10,10,10,20,10,10,25,40,15,8.6,9.4,9.2,8.466666667,7,8
#0543,10,10,10,20,10,10,25,32.03,15,10,8,9.6,8.8,7,9
#0544,10,10,10,20,10,10,19.26,39.56,13.43,10,0,8.5,9.25,8,8
#0545,10,10,10,20,10,8.96,9.15,33.75,14.26,8.333333333,8.857142857,8.533333333,8.3,9,9.75
#0546,10,10,10,20,10,10,12.79,25.12,15,9,9.2,9,7.8,9,8.8
#0547,10,10,10,20,10,10,10.69,40,15,10,9.607142857,8.8,10,8,8.8
#0548,10,0,10,20,5.62,9.12,.42,18.04,0,6.6,8.55,7.666666667,5.8,7,8.25
#0549,10,10,10,11.86,10,10,3.99,0,0,8,9,9,4.2,0,8
#0550,10,10,10,20,0,10,25,40,4.98,7,8,1.4,8.816666667,4,4.8
#0551,10,10,10,20,10,10,25,40,15,10,9.8,10,9,9,9.8
#0552,10,10,10,6.04,0,0,25,33.49,15,7,9.6,0,9.466666667,8,8.6
#0553,10,10,10,20,10,10,25,40,15,8,9.35,8.166666667,8.05,8,7.4
#0554,10,10,10,20,10,10,0,26.93,15,9,9.5,8.216666667,0,5,7.8
#0555,10,10,10,20,10,10,25,40,15,9,10,6.1,5.7,6,7.6
#0556,10,10,10,20,10,10,25,38.76,15,10,10,9.8,7,8,8.6
#0557,10,0,10,20,10,10,25,40,15,9.8,8.8,10,8,10,9.4
#0558,6.67,0,10,12.82,5.12,9.22,.95,5.83,4.82,8,7.816666667,5.6,1.2,1,6.733333333
#0559,10,10,10,20,10,10,25,40,15,8,9.857142857,9.666666667,9.5,6,8.666666667
#0560,10,10,10,20,10,10,25,8.96,15,9,10,8.4,9.1,8,8.8
#0561,10,10,10,10.03,10,10,20.04,37.15,15,10,9.55,6.55,7.5,9,7.6
#0562,10,10,9.75,0,0,10,9.6,0,14.86,8.8,0,0,7.6,2,9
#0563,10,10,10,20,10,10,24.37,14.9,15,9,9.266666667,8.866666667,8.55,8,7
#0564,10,10,10,20,10,10,0,40,15,8.8,10,7.2,6.3,5,8.566666667
#0565,10,10,10,11.42,0,5.51,22.75,21.56,15,6.8,8.85,6.033333333,7.25,3,7.35
#0566,10,10,10,20,10,10,25,39.73,15,9,8.1,9.466666667,8.6,9,9.8
#0567,10,10,10,10.51,10,10,22.92,40,15,7,7.333333333,9.466666667,8.6,6.666666667,10
#0568,10,10,10,3.72,0,0,9,21.27,7.44,8,8.35,5,3.6,7,6
#0569,10,10,10,20,10,1.97,25,40,15,10,8.35,7.8,8,7,8.8
#0570,10,10,10,20,10,10,16.65,15.76,15,9,9.666666667,8.4,9.1,0,8.2
#0571,10,10,10,20,10,10,25,40,15,9.6667,9.133333333,9,8.3,8,9.8
#0572,10,10,10,20,8.95,9.37,25,34.76,1.76,9.8,8.4,8.8,6.2,6,8.2
#0573,10,10,10,20,10,10,25,40,15,9,6.35,6.7,7.3,7,8.8
#0574,10,10,10,20,10,10,25,40,15,10,9.2,8.733333333,8.85,4,9.8
#0575,10,10,10,20,10,10,6.83,37.5,15,8.75,8.916666667,0,7.35,7,8.6
#0576,10,8.89,10,9.95,3.06,0,7.75,0,10.1,7.8,8.75,9.3,6.6,0,9.4
#0577,10,10,10,20,10,10,21.23,0,15,9,9.857142857,7.75,8.2,.4,5.6
#0578,10,10,10,20,10,10,4.96,40,14.89,8,9.75,8.9,8.6,8,9.2
#0579,10,9.65,9.98,20,10,10,24.7,40,15,8,9.466666667,8.9,7.8,10,8.8
#0580,10,10,10,20,2.1,6.33,12.27,17.5,13.02,9,7.257142857,8.6,2.9,6,4.733333333
#0581,10,10,10,20,10,10,22.6,38.7,15,9,9.3,8.3,8,8,8.8
#0582,10,10,10,20,10,10,25,40,15,10,9.6,9.833333333,10,8,9.8
#0583,10,10,8.88,19.5,9.7,9.56,5.31,32.07,13.85,10,7.8,8,6.8,5,9.8
#0584,10,10,10,20,10,10,25,40,15,10,9.35,9.6,9,9,9.8
#0585,10,0,0,0,6.99,10,0,0,6.83,8,0,7.266666667,9.5,9,0
#0586,10,10,10,20,10,10,25,40,15,10,10,9.4,8,4,7.8
#0587,10,10,10,20,10,10,25,40,13.71,9,9,8.533333333,8.75,7,8.2
#0588,10,10,10,20,0,10,21.5,40,15,8.1,8.675,8.766666667,7.933333333,4,9.55
#0589,10,10,10,20,10,10,25,40,15,8,7.666666667,9.1,8,7,9.2
#0590,10,10,10,20,8.16,10,25,40,15,10,8.4,9.333333333,6.5,9,9.4
#0591,10,10,10,20,10,10,25,23.32,13.36,7.8,7.533333333,5.533333333,6.466666667,3,5.266666667
#0592,10,10,10,20,10,10,16.27,40,15,9,8,8.4,8.6,5,9
#0593,0,0,0,1,10,1.06,0,7.95,0,0,8.2,0,0,0,5
#0594,10,10,8.64,10.72,10,10,0,4.71,1.27,9,9.75,8.4,7,0,0
